lat,lon
27.66314824,128.9902831
27.79578177,129.0180691
27.74125444,129.0445558
29.16295839,129.2092644
27.9912579,129.2675526
28.04713693,129.3234317
28.38241113,129.3234317
28.27065307,129.5469478
29.48430064,129.6124852
29.83849204,129.907601
28.40389266,130.0604187
30.37178319,130.9673643
30.69461694,131.0789073
